id,Año,región,region_rec,Línea presupuestaria,Tipo de Entidad receptora,Tipo de institución,Nombre entidad receptora (ejecutora),id_instituciones,Ejecución (miles de $ de cada año),RH
516,2013,Aysén,12,860 UACH CIEP - Investigación Capital Humano CIEP Sistema Sistema Hídrico y Campos de Hielo,CENTRO I+D,Centro de Investigación Privado,Centro de Investigación en Ecosistemas de la Patagonia:,71000,20542,si
537,2013,Arica y Parinacota,15,902 CODECITE-Transferencia Integracion Sistema Recirculacion Acuaponico Arica y.,CENTRO I+D,Organismo público,CODECITE,71006,44931,si
550,2013,Arica y Parinacota,15,980 INIA-Prospección Mejoramiento Eficiencia Riego Olivos Azapa,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,64557,si
598,2016,Bernardo O´higgins,6,Agrícola Centro de Evaluación Rosario Ltda. - Técnicas de Riego Deficitario Controlado en Kiwi (30419375-0),OTROS,Empresa,Agrícola Centro de Evaluación Rosario Ltda,71001,52043,si
601,2015,Bernardo O´higgins,6,Agrícola Centro de Evaluación Rosario Ltda. - Técnicas de Riego Deficitario Controlado en Kiwi (30419375-0)                                                                                                                                               ,CORPORACIÓN,Empresa,Agrícola Centro de Evaluación Rosario Ltda,71001,52043,si
618,2011,Arica y Parinacota,15,Prospección Mejoramiento Eficiencia Riego Olivos Azapa.(30110765-0),AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,64557,si
625,2011,Arica y Parinacota,15,Análisis Estudio para Eliminar Arsénico en Agua Potable(30110574-0),UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,41407,si
628,2012,Arica y Parinacota,15,Análisis Estudio para Eliminar Arsénico en Agua Potable(30110574-0),UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,41407,si
635,2011,Bernardo O´higgins,6,capacitación Desarrollo de Técnicas de Reciclaje y Reutilización de las Aguas Lluvias Cosechadas para el Cultivo en Invernaderos.,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,46367,si
637,2012,Bernardo O´higgins,6,Capacitación Desarrollo de Técnicas de Reciclaje y Reutilización de las Aguas Lluvias Cosechadas para el Cultivo en Invernaderos.,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,59258,si
667,2011,Arica y Parinacota,15,Capital Avanzado en Recursos Hídricos y ERNC.,UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,64630,si
672,2012,Tarapacá,1,Caracterización del monitereo de los recursos hídricos de la región,UNIVERSIDAD,Institución de Educación superior,Universidad Arturo Prat,93,86020,si
689,2016,Coquimbo,4,CENTRO DE AGUAS PARA ZONAS ARIDAS (CAZALAC)-Investigación producción acelerada de forraje con bajo consumo hídrico (30404025-0),OTROS,Organización Internacional,Centro del Agua para Zonas Áridas de América Latina y el Caribe (CAZALAC),70988,33697,si
