Evolucion actividad emprendedora,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Emprendedores en etapas iniciales,11%,9%,13%,13%,15%,17%,24%,23%,24%,27%,26%,24%
Empresarios establecidos,4%,7%,9%,7%,7%,6%,7%,8%,8%,9%,8%,8%
