ID_investigadores,Nombre,A1,A2,N_pub_autor_principal,N_pub_total,Ratio,Proyecto,género,ofos,fos,fos_rec,tipo_inv,area WOS1,area WOS2,area WOS3,area WOS4,area WOS5,area WOS6,institución_trabaja,,,,,
6701640410,Vladimir,Alarcón,Calderón,9,10,"90,0",,M,3,Ingeniería y tecnología,2,I1,Environmental Engineering,Educational Sciences,Civil Engineering,Environmental biotechnology,,,Universidad Diego Portales,,,,,
56194982400,José Francisco,Muñoz,Pardo,0,9,"0,0",FONDECYT,M,3,Ingeniería y tecnología,2,I1,--,Civil Engineering,--,,,,Pontificia Universidad Católica de Chile,,,,,
56144715400,Rodrigo,Valdés,Pineda,1,9,"11,1",,M,1,Ciencias agrícolas,4,I1,Forestry and Wood Industry,Hydrology,,,,,Universidad de Talca,,,,,
7801397942,Evelyn,Habit,,1,8,"12,5",,F,4,Ciencias Naturales,1,I1,Biology,Environmental Engineering,,,,,Universidad de Concepción,,,,,
7003677477,Ricardo,Barra,Ríos,1,8,"12,5",,M,4,Ciencias Naturales,1,I1,Chemistry,Environmental Engineering,,,,,Universidad de Concepción,,,,,
22934582700,Sébastien,Monnier,,7,8,"87,5",,M,4,Ciencias Naturales,1,I1,Physical Geography,Human Geography, Regional Geography, Regional Planning,Environmental Engineering,,Pontificia Universidad Católica de Valparaíso,,,,,
6602596557,Stefan,Woelfl,,1,8,"12,5",,M,4,Ciencias Naturales,1,I1,Biology,--,,,,,Universidad Austral de Chile,Human Geography,,,,
9533354900,Andrea,Andreoli,,0,7,"0,0",,M,4,Ciencias Naturales,1,I1,Forestry and Wood Industry,Hydrology,,,,,Universidad de Concepción,,,,,
7006634082,Antonio,Lara,,1,7,"14,3",,M,2,Ciencias sociales,5,I1,Forestry and Wood Industry,Human Geography, Regional Geography, Regional Planning,,,Universidad Austral de Chile,,,,,
36987564300,Brian,Reid,,2,7,"28,6",,M,4,Ciencias Naturales,1,I1,Biology,Biology,,,,,Centro de Investigación en Ecosistemas de la Patagonia,,,,,
7202770598,Claudio,Meier,,2,7,"28,6",,M,4,Ciencias Naturales,1,I1,Civil Engineering,Civil Engineering,Biology,,,,Universidad de Concepción,,,,,
55789695800,Daniel,Mora,Melia,5,7,"71,4",FONDECYT,M,3,Ingeniería y tecnología,2,I1,Chemical Process Engineering,Civil Engineering,,,,,Universidad de Talca, Horticulture,,,,
6701836809,Diego,Morata,Céspedes,0,7,"0,0",,M,4,Ciencias Naturales,1,I1,Geology, Mineralogy,Geology, Mineralogy,,,Universidad de Chile,,,,,
7102638371,Duncan,Christie,,1,7,"14,3",FONDECYT,M,4,Ciencias Naturales,1,I1,Biology,Forestry and Wood Industry,,,,,Universidad Austral de Chile,,,,,
41862238900,Jorge,Núñez,Cobo,3,7,"42,9",,M,1,Ciencias agrícolas,4,I1,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Hydrology,,Centro del Agua para Zonas Áridas de América Latina y el Caribe,,,,,
