codigo_proyecto,institucion financiante,programa,Instrumento,anio,nombre_proyecto,estado,Investigador,tipo_participación,institucion ejecutora,id institucion,tipo_participacion,region(es)_ejecución,region(es)_ejecución_rec,Taxonomia FIA,Taxonomia Cameron,Taxonomia_CORFO,Taxonomia Sector Aplicacion (propia),objetivos,objetivos_especificos
15NODO-49482-1,CORFO,COMPETITIVIDAD,NODOS PARA LA COMPETITIVIDAD,2015,FORTALECIMIENTO RED EMPRESARIAL DESTINO RAPEL,,,,CODESSER Corporación de Desarrollo Social del Sector Rural  ,934,AOI (Agente operador intermediario),,,,,,9,,
15NODO-49482-1,CORFO,COMPETITIVIDAD,NODOS PARA LA COMPETITIVIDAD,2015,FORTALECIMIENTO RED EMPRESARIAL DESTINO RAPEL,,,,DONOSO & BOUILLET CONSULTORES LIMITADA,1299,BENEFICIARIA / DESARROLLADOR,,,,,,9,,
15NODO-57259-1,CORFO,COMPETITIVIDAD,NODOS PARA LA COMPETITIVIDAD,2015,"NODO DE RIEGO Y EFICIENCIA ENERGÉTICA PARA PEQUEÑOS PRODUCTORES DE UVA PISQUERA DE LAS PROVINCIAS DE LIMARI Y CHOAPA, EN LA REGIÓN DE COQUIMBO",,,,CODESSER Corporación de Desarrollo Social del Sector Rural  ,934,AOI (Agente operador intermediario),,,,,,2,,
15NODO-57259-1,CORFO,COMPETITIVIDAD,NODOS PARA LA COMPETITIVIDAD,2015,"NODO DE RIEGO Y EFICIENCIA ENERGÉTICA PARA PEQUEÑOS PRODUCTORES DE UVA PISQUERA DE LAS PROVINCIAS DE LIMARI Y CHOAPA, EN LA REGIÓN DE COQUIMBO",,,,Cooperativa Agrícola Control Pisquero de Elqui y Limarí Ltda,1300,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
15PAEI-40242,CORFO,EMPRENDIMIENTO,PROGRAMA DE APOYO AL ENTORNO PARA EL EMPRENDIMIENTO Y LA INNOVACION REGIONAL,2015,CUIDO MI AGUA CUIDO MI HOGAR,,,,CAPACITACION Y ASESORIAS EMPRENDEJOVEN LIMITADA,7960,BENEFICIARIA / DESARROLLADOR,,,,,,9,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,Compañía Agropecuaria Copeval S.A.  ,942,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,Ricardo Torres  Araya,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,ANTONIO  MUÑOZ MIRANDA,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,SAMUEL JOFRÉ ZANFORLIN,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,MARÍA FRANCISCA CORTÉS ROJAS,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,SAMUEL MINCHEA PARRA,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,HUMBERTO CASTILLO CONTRERAS,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PAR-46416,CORFO,COMPETITIVIDAD,PROGRAMA DE APOYO A LA REACTIVACIÓN,2015,PAR RIEGO MONTEPATRIA,,,,REBECA MIRANDA HUERTA,Persona Natural,BENEFICIARIO COMPETITIVIDAD,,,,,,2,,
15PI-44313,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACION SOCIAL,2015,EFIZITY: USO EFICIENTE DEL AGUA EN HOGARES DE COPIAPO,,,,EFIZITY INGENIERÍA SPA,1301,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PI-44313,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACION SOCIAL,2015,EFIZITY: USO EFICIENTE DEL AGUA EN HOGARES DE COPIAPO,,,,Aguas Chañar SA,1302,ASOCIADO,,,,,,5,,
