,En desacuerdo + Muy en desacuerdo ,Ni de acuerdo ni en desacuerdo,De acuerdo + Muy de acuerdo ,NS/NC
"En general, los niveles de tolerancia y respeto son muy bajos ",11%,18%,69%,2%
"A fin de cuentas, la sociedad chilena está unida y sus conflictos son acotados",46%,29%,22%,4%
