Año 2017 ,Totalmente insatisfecho ,Ni Satisfecho/Ni Insatisfecho,Totalmente Satisfecho ,NS/NC
Satisfacción personal con la vida ,8%,24%,68%,1%
Satisfacción del resto de los chilenos ,21%,54%,21%,4%
