nombre,fuente,titulo,comment
Confianzaenlasinstituciones,"Encuesta Bicentenario (2017)",Percepción de confianza en las instituciones,
Percepciondecorrupcioneninstituciones,"Estudio Nacional de Opinión Pública, Centro de Estudios Públicos (CEP), Abril-Mayo 2017. Pagina 23",Percepción de corrupción en las instituciones,
