region,ID
Arica y Parinacota,15
Tarapacá,1
Antofagasta,2
Atacama ,3
Coquimbo,4
Valparaíso,5
Bernardo O´higgins,6
Maule ,7
Bío Bío,8
La Araucanía,9
Los Ríos,10
Los Lagos,11
Aysén ,12
Magallanes ,13
Región Metropolitana,14
